,FrameNumber,CS,Time,Kills,Deaths,Assists
0,0,0,00:04,0,0,0
1,150,0,00:09,0,0,0
2,300,0,00:14,0,0,0
3,450,0,00:19,0,0,0
4,600,0,00:24,0,0,0
5,750,0,00:29,0,0,0
6,900,0,00:34,0,0,0
7,1050,0,00:39,0,0,0
8,1200,0,00:44,0,0,0
9,1350,0,00:49,0,0,0
10,1500,0,00:54,0,0,0
11,1650,0,00:59,0,0,0
12,1800,0,01:04,0,0,0
13,1950,0,01:09,0,0,0
14,2100,0,01:14,0,0,0
15,2250,0,01:19,0,0,0
16,2400,0,01:24,0,0,0
17,2550,0,01:29,0,0,0
18,2700,0,01:34,0,0,0
19,2850,0,01:39,0,0,0
20,3000,0,01:44,0,0,0
21,3150,2,01:49,0,0,0
22,3300,2,01:54,0,0,0
23,3450,5,01:59,0,0,0
24,3600,5,02:04,0,0,0
25,3750,5,02:09,0,0,0
26,3900,5,02:14,0,0,0
27,4050,6,02:19,0,0,0
28,4200,7,02:24,0,0,0
29,4350,7,02:29,0,0,0
30,4800,10,02:44,0,0,0
31,5100,14,02:54,0,0,0
32,5250,15,02:59,0,0,0
33,5400,15,03:04,0,0,0
34,5550,15,03:09,0,0,0
35,5700,15,03:14,0,0,0
36,5850,16,03:19,0,0,0
37,6000,16,03:24,0,0,0
38,6150,16,03:29,0,0,0
39,6300,16,03:34,0,0,0
40,6450,17,03:39,0,0,0
41,6600,19,03:44,0,0,0
42,6750,20,03:49,0,0,0
43,6900,20,03:54,0,0,0
44,7050,22,03:59,0,0,0
45,7200,25,04:04,0,0,0
46,7350,26,04:09,0,0,0
47,7500,26,04:14,0,0,0
48,7650,29,04:19,0,0,0
49,7800,32,04:24,0,0,0
50,7950,32,04:29,0,0,0
51,8100,32,04:34,0,0,0
52,8250,32,04:39,0,0,0
53,8400,32,04:44,0,0,0
54,8550,32,04:49,0,0,0
55,8700,32,04:54,0,0,0
56,8850,32,04:59,0,0,0
57,9000,32,05:04,0,0,0
58,9150,35,05:09,0,0,0
59,9300,35,05:14,0,0,0
60,9450,36,05:19,0,0,0
61,9600,36,05:24,0,0,0
62,9750,37,05:29,0,0,0
63,9900,39,05:34,0,0,0
64,10050,40,05:39,0,0,0
65,10200,42,05:44,0,0,0
66,10350,42,05:49,0,0,0
67,10500,43,05:54,0,0,0
68,10650,45,05:59,0,0,0
69,10800,47,06:04,0,0,0
70,10950,48,06:09,0,0,0
71,11100,49,06:14,0,0,0
72,11250,51,06:19,0,0,0
73,11400,51,06:24,0,1,0
74,11550,51,06:29,0,1,0
75,11700,51,06:34,0,1,1
76,11850,51,06:39,0,1,1
77,12000,51,06:44,0,1,1
78,12150,51,06:49,0,1,1
79,12300,51,06:54,0,1,1
80,12450,51,06:59,0,1,1
81,12600,53,07:04,0,1,1
82,12750,54,07:09,0,1,1
83,12900,56,07:14,0,1,1
84,13050,58,07:19,0,1,1
85,13200,59,07:24,0,1,1
86,13350,60,07:29,0,1,1
87,13500,62,07:34,0,1,1
88,13650,62,07:39,0,1,1
89,13800,63,07:44,0,1,1
90,13950,66,07:49,0,1,1
91,14100,68,07:54,0,1,1
92,14250,68,07:59,0,1,1
93,14400,68,08:04,0,1,1
94,14550,68,08:09,0,1,1
95,14700,69,08:14,0,1,1
96,14850,71,08:19,0,1,1
97,15000,71,08:24,0,1,1
98,15150,71,08:29,0,1,1
99,15300,74,08:34,0,1,1
100,15450,74,08:39,0,1,1
101,15600,75,08:44,0,1,1
102,15750,77,08:49,0,1,1
103,15900,79,08:54,0,1,1
104,16050,80,08:59,0,1,1
105,16200,80,09:04,0,1,1
106,16350,80,09:09,0,1,1
107,16500,81,09:14,0,1,1
108,16650,84,09:19,0,1,1
109,16800,85,09:24,0,1,1
110,16950,85,09:29,0,1,1
111,17100,86,09:34,1,1,1
112,17250,88,09:39,1,1,1
113,17400,90,09:44,1,1,1
114,17550,90,09:49,1,1,1
115,17700,90,09:54,1,1,1
116,17850,90,09:59,1,1,1
117,18000,90,10:04,1,1,1
118,18150,90,10:09,1,1,1
119,18300,90,10:14,1,1,1
120,18450,90,10:19,1,1,1
121,18600,90,10:24,1,1,1
122,18750,90,10:29,1,1,1
123,18900,90,10:34,1,1,1
124,19050,90,10:39,1,1,1
125,19200,90,10:44,1,1,1
126,19350,90,10:49,1,1,1
127,19500,90,10:54,1,1,1
128,19650,90,10:59,1,1,1
129,19800,93,11:04,1,1,1
130,19950,95,11:09,1,1,1
131,20100,95,11:14,1,1,1
132,20250,97,11:19,1,1,1
133,20400,97,11:24,1,1,1
134,20550,97,11:29,1,1,1
135,20700,97,11:34,1,1,1
136,20850,97,11:39,1,1,1
137,21000,97,11:44,1,1,1
138,21300,100,11:54,1,1,1
139,21450,103,11:59,1,1,1
140,21600,103,12:04,1,1,1
141,21750,106,12:09,1,1,1
142,21900,107,12:14,1,1,1
143,22050,107,12:19,1,1,1
144,22200,107,12:24,1,1,1
145,22350,107,12:29,1,2,1
146,22500,107,12:34,1,2,1
147,22650,107,12:39,1,2,1
148,22800,107,12:44,1,2,1
149,22950,107,12:49,1,2,1
150,23100,107,12:54,1,2,1
151,23250,107,12:59,1,2,1
152,23400,107,13:04,1,2,1
153,23700,107,13:14,1,2,1
154,23850,107,13:19,1,2,1
155,24000,108,13:24,1,2,1
156,24150,110,13:29,1,2,1
157,24450,113,13:39,1,2,1
158,24600,115,13:44,1,2,1
159,24750,118,13:49,1,2,1
160,24900,119,13:54,1,2,1
161,25050,119,13:59,1,2,1
162,25200,119,14:04,1,2,1
163,25350,121,14:09,1,2,1
164,25500,125,14:14,1,2,1
165,25650,125,14:19,1,2,1
166,25950,125,14:29,1,2,1
167,26100,125,14:34,1,2,1
168,26250,125,14:39,1,2,1
169,26400,125,14:44,1,2,1
170,26550,127,14:49,1,2,1
171,26700,128,14:54,1,2,1
172,26850,129,14:59,1,2,1
173,27000,129,15:04,1,2,1
174,27150,129,15:09,2,2,1
175,27300,129,15:14,2,2,1
176,27450,129,15:19,2,2,1
177,27600,130,15:24,2,2,1
178,27750,133,15:29,2,2,1
179,27900,137,15:34,2,2,1
180,28050,137,15:39,2,2,1
181,28200,137,15:44,2,2,1
182,28350,137,15:49,3,2,1
183,28500,138,15:54,4,2,1
184,28650,143,15:59,4,2,1
185,28800,143,16:04,4,3,1
186,28950,143,16:09,4,3,2
187,29100,143,16:14,4,3,2
188,29250,143,16:19,4,3,2
189,29400,143,16:24,4,3,2
190,29550,143,16:29,4,3,2
191,29700,143,16:34,4,3,2
192,29850,143,16:39,4,3,2
193,30000,143,16:44,4,3,2
194,30150,143,16:49,4,3,2
195,30300,143,16:54,4,3,2
196,30450,147,16:59,4,3,2
197,30600,150,17:04,4,3,2
198,30750,151,17:09,4,3,2
199,30900,156,17:14,4,3,2
200,31050,156,17:19,4,3,2
201,31200,159,17:24,4,3,2
202,31350,161,17:29,4,3,2
203,31500,163,17:34,4,3,2
204,31650,163,17:39,4,4,2
205,31800,163,17:44,4,4,2
206,31950,163,17:49,4,4,2
207,32100,163,17:54,4,4,2
208,32250,163,17:59,4,4,2
209,32400,163,18:04,4,4,2
210,32550,163,18:09,4,4,2
211,32700,163,18:14,4,4,2
212,32850,163,18:19,4,4,2
213,33000,163,18:24,4,4,2
214,33150,163,18:29,4,4,2
215,33300,167,18:34,4,4,2
216,33450,167,18:39,4,4,2
217,33600,167,18:44,4,4,2
218,33750,167,18:49,4,4,2
219,33900,170,18:54,4,4,2
220,34050,170,18:59,4,4,2
221,34200,175,19:04,4,4,2
222,34350,175,19:09,4,4,2
223,34650,175,19:19,4,4,2
224,34800,175,19:24,4,4,2
225,34950,175,19:29,4,4,2
226,35100,178,19:34,4,4,2
227,35250,180,19:39,4,4,2
228,35400,180,19:44,4,4,2
229,35550,180,19:49,5,4,2
230,35700,185,19:54,5,4,2
231,35850,186,19:59,5,4,2
232,36000,186,20:04,5,4,2
233,36150,190,20:09,5,4,2
234,36300,190,20:14,5,4,2
235,36450,190,20:19,5,4,2
236,36600,190,20:24,5,4,2
237,36750,190,20:29,5,4,2
238,36900,190,20:34,5,4,2
239,37050,190,20:39,5,4,2
240,37200,190,20:44,5,4,2
241,37350,190,20:49,5,4,2
242,37500,191,20:54,5,4,2
243,37650,196,20:59,5,4,2
244,37800,196,21:04,5,4,2
245,37950,196,21:09,5,4,2
246,38100,196,21:14,5,4,2
247,38250,196,21:19,5,4,2
248,38400,196,21:24,5,4,2
249,38550,196,21:29,5,4,2
250,38700,199,21:34,5,4,2
251,38850,200,21:39,5,4,2
252,39000,200,21:44,5,4,2
253,39150,201,21:49,5,4,2
254,39300,202,21:54,5,4,2
255,39450,202,21:59,6,4,2
256,39600,203,22:04,6,4,2
257,39750,203,22:09,6,4,2
258,39900,207,22:14,6,4,2
259,40050,208,22:19,6,4,2
260,40200,208,22:24,6,4,2
261,40350,211,22:29,6,4,2
262,40500,214,22:34,6,4,2
263,40650,214,22:39,6,4,2
264,40800,214,22:44,6,4,2
265,40950,214,22:49,6,4,2
266,41100,214,22:54,6,4,2
267,41250,214,22:59,6,4,2
268,41400,215,23:04,6,4,2
269,41550,219,23:09,6,4,2
270,41850,221,23:19,6,4,2
271,42000,223,23:24,6,4,2
272,42150,223,23:29,6,4,2
273,42300,227,23:34,6,4,2
274,42450,227,23:39,6,4,2
275,42600,228,23:44,6,4,2
276,42750,228,23:49,6,4,2
277,42900,228,23:54,7,4,2
278,43050,228,23:59,7,4,2
279,43200,228,24:04,7,4,2
280,43350,228,24:09,7,4,3
281,43500,228,24:14,8,4,3
282,43800,229,24:24,8,4,3
283,43950,232,24:29,8,4,3
284,44100,236,24:34,8,4,3
285,44250,236,24:39,8,4,3
286,44400,239,24:44,8,4,3
287,44550,239,24:49,8,4,3
288,44700,239,24:54,8,4,3
289,44850,241,24:59,8,4,3
290,45000,241,25:04,8,4,3
291,45150,241,25:09,8,4,3
292,45300,241,25:14,8,4,3
293,45450,241,25:19,8,4,3
294,45600,241,25:24,8,4,3
295,45750,245,25:29,8,4,3
296,45900,245,25:34,8,4,3
297,46050,250,25:39,8,4,3
298,46200,251,25:44,8,4,3
299,46350,251,25:49,8,4,3
300,46500,252,25:54,8,4,3
301,46650,252,25:59,8,4,3
302,46800,259,26:04,8,4,3
303,46950,259,26:09,8,4,3
304,47100,259,26:14,8,4,3
305,47250,259,26:19,8,4,3
306,47400,259,26:24,8,4,3
307,47550,259,26:29,9,4,3
308,47700,265,26:34,9,4,3
309,47850,266,26:39,9,4,3
310,48000,266,26:44,9,4,3
311,48150,266,26:49,9,4,3
312,48300,266,26:54,9,4,3
313,48450,266,26:59,9,4,3
314,48600,267,27:04,9,4,3
315,48750,272,27:09,9,4,3
316,48900,272,27:14,9,4,3
317,49050,275,27:19,9,4,3
318,49200,275,27:24,9,4,3
319,49350,282,27:29,9,4,3
320,49500,282,27:34,9,4,3
321,49650,282,27:39,9,4,3
322,49800,282,27:44,9,4,3
323,49950,282,27:49,9,4,3
324,50100,282,27:54,9,4,3
325,50250,282,27:59,9,4,3
326,50400,288,28:04,9,4,3
327,50550,289,28:09,9,4,3
328,50700,289,28:14,9,4,3
329,50850,290,28:19,9,4,3
330,51000,290,28:24,9,4,3
331,51150,291,28:29,9,4,4
332,51300,291,28:34,9,5,5
333,51450,291,28:39,9,5,5
334,51600,291,28:44,9,5,5
335,51750,291,28:49,9,5,5
336,51900,291,28:54,9,5,5
337,52050,291,28:59,9,5,5
338,52200,291,29:04,9,5,5
339,52350,291,29:09,9,5,5
340,52500,291,29:14,9,5,5
341,52650,291,29:19,9,5,5
342,52800,291,29:24,9,5,5
343,52950,291,29:29,9,5,5
344,53100,291,29:34,9,5,5
345,53250,291,29:39,9,5,5
346,53400,293,29:44,9,5,5
347,53550,297,29:49,9,5,5
348,53700,298,29:54,9,5,5
349,53850,301,29:59,9,5,5
350,54000,305,30:04,9,5,5
351,54150,305,30:09,9,5,5
352,54300,305,30:14,9,5,5
353,54450,305,30:19,9,5,6
354,54600,308,30:24,9,5,6
355,54750,311,30:29,9,5,6
356,54900,311,30:34,9,5,6
357,55050,311,30:39,9,5,6
358,55200,311,30:44,9,5,6
359,55350,311,30:49,9,5,6
360,55500,313,30:54,9,5,6
361,55650,318,30:59,9,5,6
362,55800,322,31:04,9,5,6
363,55950,322,31:09,9,5,6
364,56100,322,31:14,9,5,6
365,56250,322,31:19,9,5,6
366,56400,322,31:24,9,5,6
367,56550,326,31:29,9,5,6
368,56700,327,31:34,9,5,6
369,56850,333,31:39,9,5,6
370,57000,333,31:44,9,5,6
371,57150,333,31:49,9,5,6
372,57300,333,31:54,9,5,6
373,57450,333,31:59,9,5,6
374,57600,333,32:04,9,5,6
375,57750,333,32:09,9,5,6
376,57900,336,32:14,9,5,6
377,58050,336,32:19,9,5,6
378,58200,336,32:24,9,5,6
379,58350,336,32:29,9,5,6
380,58500,337,32:34,9,5,6
381,58650,340,32:39,9,5,6
382,58800,340,32:44,9,5,6
383,58950,340,32:49,9,5,6
384,59100,340,32:54,9,5,6
385,59250,340,32:59,9,5,6
386,59400,340,33:04,9,5,6
387,59550,342,33:09,9,5,6
388,59700,342,33:14,9,5,6
389,59850,342,33:19,9,5,6
390,60000,342,33:24,9,5,6
391,60150,343,33:29,9,5,6
392,60300,348,33:34,9,5,6
393,60450,349,33:39,9,5,6
394,60600,349,33:44,10,5,6
395,60750,349,33:49,11,5,6
396,60900,350,33:54,11,5,6
397,61050,356,33:59,11,5,6
398,61200,356,34:04,11,5,6
399,61350,356,34:09,11,5,6
400,61500,359,34:14,11,5,6
401,61650,360,34:19,11,5,6
402,61800,360,34:24,11,5,6
